TEAM,SEASON,ATTENDANCE,STADIUM CAPACITY,TIER,LEAGUE POSITION,REGION,SQUAD VALUE (in millions of Pounds),TICKET PRICES (in Pounds),POPULATION,MATCHES TELEVISED,NO. OF GOALS SCORED,CUP WINS,RENOVATION,UK GDP PC (in Pounds)
Manchester City,1949/1950,39381,52000,1,21,Manchester,NA,0.11,2422000.00,1,36,0,0,NA
Manchester City,1950/1951,38677,52000,2,1,Manchester,NA,0.12,2423000.00,1,89,0,0,NA
Manchester City,1951/1952,38397,52000,1,15,Manchester,NA,0.13,2423000.00,1,58,0,0,NA
Manchester City,1952/1953,34053,52000,1,20,Manchester,NA,0.14,2424000.00,1,66,0,0,NA
Manchester City,1953/1954,30203,52000,1,22,Manchester,NA,0.15,2424000.00,1,50,0,0,NA
Manchester City,1954/1955,35217,52000,2,7,Manchester,NA,0.16,2425000.00,1,60,0,0,10682
Manchester City,1955/1956,32198,52000,1,4,Manchester,NA,0.17,2425000.00,2,89,1,0,10812
Manchester City,1956/1957,29935,52000,1,2,Manchester,NA,0.18,2426000.00,2,100,0,0,10972
Manchester City,1957/1958,32776,52000,1,21,Manchester,NA,0.19,2426000.00,2,104,0,0,11072
Manchester City,1958/1959,32568,52000,1,20,Manchester,NA,0.2,2427000.00,2,79,0,0,11477
Manchester City,1959/1960,35637,52000,1,16,Manchester,NA,0.21,2427000.00,3,78,0,0,12106
Manchester City,1960/1961,29409,52000,1,21,Manchester,NA,0.22,2427000.00,3,64,0,0,12327
Manchester City,1961/1962,25626,52000,2,1,Manchester,NA,0.23,2424000.00,3,90,0,0,12346
Manchester City,1962/1963,24657,52000,1,19,Manchester,NA,0.24,2420000.00,4,75,0,0,12862
Manchester City,1963/1964,25257,52000,1,16,Manchester,NA,0.25,2417000.00,4,62,0,0,13504
Manchester City,1964/1965,10215,52000,2,1,Manchester,NA,0.26,2413000.00,4,71,0,0,13698
Manchester City,1965/1966,30239,52000,2,1,Manchester,NA,0.27,2410000.00,4,80,0,0,13836
Manchester City,1966/1967,31208,52000,1,15,Manchester,NA,0.28,2406000.00,5,43,0,0,14135
Manchester City,1967/1968,37197,52000,1,1,Manchester,NA,0.29,2403000.00,6,86,1,0,14838
Manchester City,1968/1969,33746,52000,1,13,Manchester,NA,0.3,2399000.00,6,58,1,0,15054
Manchester City,1969/1970,33930,52000,1,10,Manchester,NA,0.31,2396000.00,7,54,1,0,15413
Manchester City,1970/1971,30971,52000,1,11,Manchester,NA,0.4,2392000.00,7,65,0,0,15886
Manchester City,1971/1972,38585,52000,1,4,Manchester,NA,0.5,2386000.00,7,69,1,0,16529
Manchester City,1972/1973,32265,52000,1,11,Manchester,NA,0.65,2381000.00,7,55,0,0,17564
Manchester City,1973/1974,30662,52000,1,14,Manchester,NA,0.8,2375000.00,8,49,0,0,17122
Manchester City,1974/1975,32898,52000,1,8,Manchester,NA,1,2370000.00,8,58,0,0,16867
Manchester City,1975/1976,34283,52000,1,8,Manchester,NA,1.2,2365000.00,8,55,1,0,17379
Manchester City,1976/1977,40068,52000,1,2,Manchester,NA,1.5,2359000.00,8,60,0,0,17815
Manchester City,1977/1978,41687,52000,1,4,Manchester,NA,1.8,2354000.00,9,61,0,0,18565
Manchester City,1978/1979,36210,52000,1,15,Manchester,NA,2.2,2348000.00,9,54,0,0,19236
Manchester City,1979/1980,35729,52000,1,17,Manchester,NA,2.6,2343000.00,9,45,0,0,18812
Manchester City,1980/1981,33536,52000,1,12,Manchester,NA,3,2337000.00,10,53,0,0,18673
Manchester City,1981/1982,34063,52000,1,10,Manchester,NA,3.5,2331000.00,10,52,0,0,19063
Manchester City,1982/1983,26788,52000,1,20,Manchester,NA,4,2325000.00,11,47,0,0,19848
Manchester City,1983/1984,26711,52000,2,4,Manchester,NA,4.5,2319000.00,11,68,0,0,20255
Manchester City,1984/1985,21071,52000,2,2,Manchester,NA,5,2313000.00,11,70,0,0,21029
Manchester City,1985/1986,24229,52000,1,15,Manchester,NA,5.5,2306000.00,12,52,0,0,21633
Manchester City,1986/1987,21922,52000,1,22,Manchester,NA,6,2300000.00,12,36,0,0,22757
Manchester City,1987/1988,22126,52000,2,9,Manchester,NA,7,2294000.00,13,74,0,0,23934
Manchester City,1988/1989,24610,52000,2,2,Manchester,NA,8,2288000.00,13,82,0,0,24439
Manchester City,1989/1990,27975,52000,1,14,Manchester,NA,9,2282000.00,14,46,0,0,24507
Manchester City,1990/1991,27874,35150,1,5,Manchester,NA,10,2279000.00,15,57,0,1,24078
Manchester City,1991/1992,27641,35150,1,5,Manchester,NA,11,2286000.00,16,62,0,0,24076
Manchester City,1992/1993,24698,35150,1,9,Manchester,NA,12,2294000.00,16,57,0,0,24565
Manchester City,1993/1994,26334,35150,1,16,Manchester,NA,13,2301000.00,17,52,0,0,25338
Manchester City,1994/1995,22674,35150,1,17,Manchester,NA,14,2308000.00,17,53,0,0,25870
Manchester City,1995/1996,27941,35150,1,18,Manchester,NA,15,2316000.00,18,33,0,0,26474
Manchester City,1996/1997,26753,35150,2,14,Manchester,NA,16,2323000.00,18,59,0,0,27707
Manchester City,1997/1998,28197,35150,2,22,Manchester,NA,17,2330000.00,19,56,0,0,28570
Manchester City,1998/1999,28273,35150,3,3,Manchester,NA,18,2338000.00,19,63,0,0,29339
Manchester City,1999/2000,32088,35150,2,2,Manchester,NA,19,2345000.00,20,88,0,0,30508
Manchester City,2000/2001,34058,35150,1,18,Manchester,NA,20,2355000.00,21,41,0,0,31173
Manchester City,2001/2002,33059,35150,2,1,Manchester,NA,21,2374000.00,22,108,0,0,31597
Manchester City,2002/2003,34565,48000,1,9,Manchester,NA,22,2394000.00,23,47,0,1,32445
Manchester City,2003/2004,46834,48000,1,16,Manchester,31.13,23,2414000.00,24,55,0,0,33069
Manchester City,2004/2005,45192,48000,1,8,Manchester,32.86,24,2434000.00,25,47,0,0,33713
Manchester City,2005/2006,42856,48000,1,15,Manchester,34.19,25,2455000.00,26,38,0,0,34280
Manchester City,2006/2007,39997,48000,1,14,Manchester,102.6,27,2475000.00,27,29,0,0,34898
Manchester City,2007/2008,42126,48000,1,9,Manchester,158.8,30,2496000.00,28,45,0,0,34527
Manchester City,2008/2009,42903,48000,1,10,Manchester,222.5,33,2517000.00,29,58,0,0,32700
Manchester City,2009/2010,45470,48000,1,5,Manchester,257.1,36,2538000.00,30,73,0,0,33165
Manchester City,2010/2011,45905,48000,1,3,Manchester,303.45,39,2558000.00,32,60,1,0,33264
Manchester City,2011/2012,47045,48000,1,1,Manchester,324,42,2577000.00,34,93,1,0,33540
Manchester City,2012/2013,46974,48000,1,2,Manchester,382.5,45,2595000.00,36,66,0,0,33916
Manchester City,2013/2014,47080,48000,1,1,Manchester,394.94,48,2614000.00,38,102,1,0,34739
Manchester City,2014/2015,45365,55000,1,2,Manchester,369.75,51,2633000.00,40,83,1,1,35256
Manchester City,2015/2016,54041,55000,1,4,Manchester,433.01,54,2652000.00,42,71,1,0,35649
Manchester City,2016/2017,54019,55000,1,3,Manchester,569.4,57,2671000.00,44,80,0,0,36397
Manchester City,2017/2018,53812,55000,1,1,Manchester,663.75,60,2690000.00,46,106,1,0,36728
Manchester City,2018/2019,54130,55000,1,1,Manchester,877,63,2710000.00,48,95,1,0,37134
Manchester United,1949/1950,39008,80000,1,4,Manchester,NA,0.11,2422000.00,1,69,0,0,NA
Manchester United,1950/1951,42830,80000,1,2,Manchester,NA,0.12,2423000.00,1,64,0,0,NA
Manchester United,1951/1952,37486,80000,1,1,Manchester,NA,0.13,2423000.00,2,77,1,0,NA
Manchester United,1952/1953,35196,80000,1,8,Manchester,NA,0.14,2424000.00,2,78,0,0,NA
Manchester United,1953/1954,35612,80000,1,4,Manchester,NA,0.15,2424000.00,2,81,0,0,NA
Manchester United,1954/1955,39016,80000,1,5,Manchester,NA,0.16,2425000.00,2,84,0,0,10682
Manchester United,1955/1956,45419,80000,1,1,Manchester,NA,0.17,2425000.00,3,83,1,0,10812
Manchester United,1956/1957,45974,80000,1,1,Manchester,NA,0.18,2426000.00,3,103,1,0,10972
Manchester United,1957/1958,53247,80000,1,9,Manchester,NA,0.19,2426000.00,3,74,0,0,11072
Manchester United,1958/1959,47277,80000,1,2,Manchester,NA,0.2,2427000.00,3,101,0,0,11477
Manchester United,1959/1960,37888,80000,1,7,Manchester,NA,0.21,2427000.00,4,88,0,0,12106
Manchester United,1960/1961,33491,80000,1,15,Manchester,NA,0.22,2427000.00,4,76,0,0,12327
Manchester United,1961/1962,40168,80000,1,15,Manchester,NA,0.23,2424000.00,4,75,0,0,12346
Manchester United,1962/1963,43246,80000,1,19,Manchester,NA,0.24,2420000.00,5,67,1,0,12862
Manchester United,1963/1964,46022,80000,1,2,Manchester,NA,0.25,2417000.00,5,83,1,0,13504
Manchester United,1964/1965,38708,80000,1,1,Manchester,NA,0.26,2413000.00,5,89,1,0,13698
Manchester United,1965/1966,54030,80000,1,4,Manchester,NA,0.27,2410000.00,6,88,0,0,13836
Manchester United,1966/1967,57339,80000,1,1,Manchester,NA,0.28,2406000.00,6,84,1,0,14135
Manchester United,1967/1968,51157,80000,1,2,Manchester,NA,0.29,2403000.00,6,89,1,0,14838
Manchester United,1968/1969,50053,80000,1,11,Manchester,NA,0.3,2399000.00,7,66,0,0,15054
Manchester United,1969/1970,44937,80000,1,8,Manchester,NA,0.31,2396000.00,7,66,0,0,15413
Manchester United,1970/1971,46384,80000,1,8,Manchester,NA,0.4,2392000.00,7,52,0,0,15886
Manchester United,1971/1972,48722,80000,1,8,Manchester,NA,0.5,2386000.00,8,73,0,0,16529
Manchester United,1972/1973,42721,80000,1,18,Manchester,NA,0.65,2381000.00,8,49,0,0,17564
Manchester United,1973/1974,48106,80000,1,21,Manchester,NA,0.8,2375000.00,8,47,0,0,17122
Manchester United,1974/1975,54734,80000,2,1,Manchester,NA,1,2370000.00,8,67,0,0,16867
Manchester United,1975/1976,53711,80000,1,3,Manchester,NA,1.2,2365000.00,9,63,1,0,17379
Manchester United,1976/1977,51825,80000,1,6,Manchester,NA,1.5,2359000.00,9,60,1,0,17815
Manchester United,1977/1978,46530,80000,1,10,Manchester,NA,1.8,2354000.00,9,66,1,0,18565
Manchester United,1978/1979,51555,80000,1,9,Manchester,NA,2.2,2348000.00,10,64,0,0,19236
Manchester United,1979/1980,45055,80000,1,2,Manchester,NA,2.6,2343000.00,10,68,0,0,18812
Manchester United,1980/1981,44687,80000,1,8,Manchester,NA,3,2337000.00,11,56,0,0,18673
Manchester United,1981/1982,41572,80000,1,3,Manchester,NA,3.5,2331000.00,11,62,0,0,19063
Manchester United,1982/1983,42521,80000,1,3,Manchester,NA,4,2325000.00,12,70,1,0,19848
Manchester United,1983/1984,43011,80000,1,4,Manchester,NA,4.5,2319000.00,12,71,0,0,20255
Manchester United,1984/1985,46309,80000,1,4,Manchester,NA,5,2313000.00,13,66,1,0,21029
Manchester United,1985/1986,40627,80000,1,4,Manchester,NA,5.5,2306000.00,13,77,1,0,21633
Manchester United,1986/1987,39105,80000,1,11,Manchester,NA,6,2300000.00,14,51,0,0,22757
Manchester United,1987/1988,36489,80000,1,2,Manchester,NA,7,2294000.00,14,74,0,0,23934
Manchester United,1988/1989,38979,80000,1,11,Manchester,NA,8,2288000.00,15,65,0,0,24439
Manchester United,1989/1990,43242,80000,1,13,Manchester,NA,9,2282000.00,16,46,1,0,24507
Manchester United,1990/1991,44985,44000,1,6,Manchester,NA,11,2279000.00,18,58,1,1,24078
Manchester United,1991/1992,35132,44000,1,2,Manchester,NA,13,2286000.00,20,63,1,0,24076
Manchester United,1992/1993,44244,44000,1,1,Manchester,NA,15,2294000.00,21,67,1,0,24565
Manchester United,1993/1994,43201,44000,1,1,Manchester,NA,17,2301000.00,22,80,1,0,25338
Manchester United,1994/1995,41681,44000,1,2,Manchester,NA,19,2308000.00,23,77,0,1,25870
Manchester United,1995/1996,55081,55000,1,1,Manchester,NA,21,2316000.00,24,76,1,0,26474
Manchester United,1996/1997,55164,55000,1,1,Manchester,NA,23,2323000.00,25,76,1,0,27707
Manchester United,1997/1998,55188,55000,1,2,Manchester,NA,25,2330000.00,26,73,0,0,28570
